source_id,source_url,name,price,compare_at_price,categories,image_url,concentration,form,storage_requirements
peptide:6f8d5fd8d66efd40b44aae98b26431f6,https://limitlesslifenootropics.com/product/spermidine-3hcl-15ml-solution-90mg/,Spermidine 3HCL (15ml Solution),,,Cellular Longevity Research,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/152/1088/SPERMIDINE__69625.1765127092.png?c=1,15ml,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:59a2d800844380266f48d51908d3b941,https://limitlesslifenootropics.com/product/thymulin-10mg/,Thymulin 10mg,,,Cellular Longevity Research,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/175/1097/THYMULIN_10MG_.SINGLE.VIAL__09438.1765129877.png?c=1,10mg,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:0c02a9e65037e04ce6c036b5db19b2de,https://limitlesslifenootropics.com/product/9-me-bc/,9-Me-BC Powder,,,Cognitive Research|Peptides|Powders,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/198/1068/9-ME-BC_POWDER_1G__59862.1763083433.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:7a76d41ed108dd20e3b0c67ad5481a74,https://limitlesslifenootropics.com/product/adalank-nootropic-peptide-nasal-spray-10ml-10mg/,Adalank Peptide Spray,,,Cognitive Research|Peptides|Sprays,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/275/906/ADALANK_10MG_SPRAY__36472.1762298999.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:66f0fc8f8703bf51d0e18b70f14e69dc,https://limitlesslifenootropics.com/product/adamax-adalank-spray-combo-pack-10mg-10mg/,Adamax / Adalank Spray Combo Pack (10mg/10mg),,,Cognitive Research|Peptides|Peptide Blends|Sprays,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/276/905/ADAMAX_ADALANK_COMBO_PACK_10MG_SPRAY__28038.1762298928.png?c=1,10mg,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:246533ecb3ee490b5da4113b4d0d224a,https://limitlesslifenootropics.com/product/adamax-99-nasal-spray-10-mg/,Adamax Peptide Spray,,,Cognitive Research|Peptides|Sprays,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/171/911/ADAMAX_10MG_SPRAY__66341.1762299480.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:01e2292e020d97181af65b6c246535be,https://limitlesslifenootropics.com/bromantane-powder/,Bromantane Powder,,,Cognitive Research|Powders,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/491/1120/BROMANTANE_POWDER__53095.1777055064.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:3c9fbf66d995870dc5a7b9deaf371807,https://limitlesslifenootropics.com/product/cerebroneurogen/,CerebroNeurogen,,,Cognitive Research|Ampoules,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/174/1071/CEREBONUROGEN___63150.1763083526.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:f4d13bced6c276e8d2cc5ef08e947ba5,https://limitlesslifenootropics.com/product/cortexin-10mg/,Cortexin 10mg,,,Cognitive Research,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/176/834/CORTEXIN_5MG_.SINGLE.VIAL__07908.1762208127.png?c=1,10mg,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:949745716a00a35e063cac7e945fd4db,https://limitlesslifenootropics.com/product/mif-1/,MIF-1,,,Cognitive Research,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/209/1066/MIF-1_50MG_.SINGLE.VIAL__36500.1763083297.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:91e66589e58c13eb6c352dcd07ac1050,https://limitlesslifenootropics.com/product/n-acetyl-selank/,N-Acetyl Selank,,,Cognitive Research,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/261/853/N-ACETYL_SELANK_20MG_.SINGLE.VIAL__87101.1762232441.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
